,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
369,Lüderitz,-26.65,289.03,55,100,12.48,2020-10-30 22:20:47
370,Bindura,-17.3,294.26,50,25,2.24,2020-10-30 22:22:40
371,La Ronge,55.1,268.15,85,100,7.2,2020-10-30 22:22:40
372,Alofi,-19.06,298.15,83,75,7.2,2020-10-30 22:19:47
373,Airai,-8.93,289.6,87,6,0.9,2020-10-30 22:19:54
374,Sindor,62.86,274.6,92,100,4.26,2020-10-30 22:20:06
375,Mudgee,-32.59,289.19,82,75,2.1,2020-10-30 22:22:41
376,Çumra,37.57,286.15,66,40,2.6,2020-10-30 22:22:41
377,Garoowe,8.41,298.32,70,18,5.55,2020-10-30 22:22:41
378,Tommot,58.96,259.5,93,100,0.47,2020-10-30 22:22:41
379,Dubăsari,47.26,283.15,93,90,5.1,2020-10-30 22:22:41
380,Grafton,42.21,272.1,80,90,3.1,2020-10-30 22:22:41
381,Caxito,-8.58,298.15,88,40,2.6,2020-10-30 22:20:11
382,Dubti,11.74,300.43,54,0,3.87,2020-10-30 22:22:42
383,Kiryat Gat,31.61,294.99,100,53,0.89,2020-10-30 22:22:42
384,Vanavara,60.34,259.42,95,88,1.16,2020-10-30 22:22:42
385,Aksu,41.12,277.68,64,24,1.49,2020-10-30 22:22:42
386,Baruun-Urt,46.68,274.11,86,71,9.26,2020-10-30 22:20:00
387,Morgan City,29.7,291.63,55,1,3.1,2020-10-30 22:22:42
388,Monaghan,54.25,281.15,81,0,4.1,2020-10-30 22:22:42
389,Luanda,-8.84,298.15,88,40,2.6,2020-10-30 22:22:14
390,Semīrom,31.42,273.67,84,0,0.63,2020-10-30 22:22:42
391,Ratnagiri,16.98,298.38,65,20,1.97,2020-10-30 22:22:43
392,Byron Bay,-28.65,298.47,83,75,5.7,2020-10-30 22:20:00
393,Khāsh,28.22,277.99,59,0,0.68,2020-10-30 22:22:43
394,Brisbane,-27.47,299.19,69,20,7.7,2020-10-30 22:22:23
395,Oranjemund,-28.55,287.59,75,82,10.62,2020-10-30 22:22:43
396,Entre Rios,-11.94,295.48,88,98,2.55,2020-10-30 22:22:43
397,Sayán,-11.14,294.46,54,100,2.54,2020-10-30 22:22:43
398,Miraflores,19.22,295.09,35,75,3.6,2020-10-30 22:22:43
399,São Filipe,14.9,300.9,57,83,7.95,2020-10-30 22:15:26
400,Valparaíso,-33.04,287.25,82,20,2.6,2020-10-30 22:19:10
401,Fairbanks,64.84,261.79,85,90,0.91,2020-10-30 22:22:44
402,Bandarbeyla,9.49,298.52,86,3,4.76,2020-10-30 22:22:44
403,Måløy,61.94,281.99,76,75,7.7,2020-10-30 22:22:44
404,Udachny,66.42,255.15,91,90,1.0,2020-10-30 22:20:45
405,Veracruz,19.33,299.21,50,75,7.7,2020-10-30 22:17:58
406,Tezu,27.92,296.49,37,24,1.82,2020-10-30 22:22:44
407,Münster,51.96,286.39,100,75,4.6,2020-10-30 22:22:45
408,Great Falls,47.5,287.05,33,40,17.0,2020-10-30 22:22:45
409,Bojnourd,37.47,277.15,41,0,1.84,2020-10-30 22:22:45
410,Pak Phanang,8.35,298.92,84,92,2.13,2020-10-30 22:22:45
411,Mariehamn,60.1,272.15,100,20,1.0,2020-10-30 22:22:45
412,Kibara,-2.15,296.15,78,75,2.03,2020-10-30 22:22:45
413,Chara,56.91,260.19,79,6,0.45,2020-10-30 22:22:45
414,Colares,38.8,291.57,78,0,2.21,2020-10-30 22:22:46
415,Dingle,11.0,297.76,92,100,3.44,2020-10-30 22:20:30
416,Marawi,8.0,297.04,93,98,2.68,2020-10-30 22:22:46
417,Río Gallegos,-51.62,291.15,36,40,8.7,2020-10-30 22:21:29
418,Progreso,21.28,298.44,83,90,2.1,2020-10-30 22:22:46
419,Hambantota,6.12,297.15,100,90,0.5,2020-10-30 22:20:13
420,Russell,32.35,291.26,45,1,6.2,2020-10-30 22:22:46
421,Xining,36.62,273.66,88,90,0.34,2020-10-30 22:22:46
422,Nhulunbuy,-12.23,300.15,74,0,1.5,2020-10-30 22:22:46
423,Zamora,-4.07,299.47,46,100,1.3,2020-10-30 22:22:47
424,Vytegra,61.01,279.33,92,36,2.06,2020-10-30 22:22:47
425,Vrangel',42.73,279.68,76,44,1.52,2020-10-30 22:22:47
426,Kruisfontein,-34.0,282.04,91,0,0.93,2020-10-30 22:20:40
427,Auki,-8.77,299.7,80,99,1.62,2020-10-30 22:22:47
428,Goya,-29.14,291.69,62,68,2.94,2020-10-30 22:22:47
429,Adamantas,36.73,292.15,59,90,5.7,2020-10-30 22:22:47
430,Ponta Delgada,37.73,294.15,88,75,6.2,2020-10-30 22:22:48
431,Novoseleznëvo,55.68,271.52,97,77,3.19,2020-10-30 22:22:48
432,Yeppoon,-23.13,299.15,74,40,4.6,2020-10-30 22:22:48
433,Belmonte,-15.86,298.15,78,0,4.1,2020-10-30 22:22:48
434,Djibouti,11.5,302.15,74,1,1.5,2020-10-30 22:22:48
435,Policoro,40.21,289.23,77,92,2.51,2020-10-30 22:22:48
436,Husavik,66.04,274.15,84,0,2.1,2020-10-30 22:22:48
437,Gwadar,25.12,297.05,34,0,3.87,2020-10-30 22:22:48
438,Takoradze,4.88,299.23,83,47,2.16,2020-10-30 22:19:45
439,Mindelo,16.89,299.15,69,40,11.3,2020-10-30 22:22:49
440,Ambatolampy,-19.38,287.15,71,75,3.6,2020-10-30 22:22:49
441,Ruidoso,33.33,289.03,33,1,4.1,2020-10-30 22:17:49
442,Svetlaya,46.54,275.59,80,20,2.09,2020-10-30 22:22:49
443,Port Blair,11.67,300.13,83,98,5.44,2020-10-30 22:19:12
444,Hasaki,35.73,277.74,87,20,0.5,2020-10-30 22:20:20
445,Waingapu,-9.66,300.11,75,93,1.3,2020-10-30 22:22:49
446,Astoria,46.19,287.28,62,1,4.6,2020-10-30 22:22:50
447,Luau,-10.71,291.82,91,69,1.44,2020-10-30 22:22:50
448,Marzuq,14.4,292.67,54,0,1.35,2020-10-30 22:22:50
449,Nouakchott,18.09,298.15,73,0,8.7,2020-10-30 22:21:33
450,Basco,20.45,298.51,74,92,14.38,2020-10-30 22:22:50
451,Kargasok,59.06,270.99,99,100,0.9,2020-10-30 22:22:50
452,Half Moon Bay,37.46,293.35,52,5,3.6,2020-10-30 22:20:21
453,Birao,10.28,298.14,40,32,1.16,2020-10-30 22:22:50
454,Erdenet,49.03,268.92,75,71,3.98,2020-10-30 22:22:50
455,Aklavik,68.22,258.15,84,75,3.6,2020-10-30 22:20:44
456,Havre-St-Pierre,50.23,271.15,58,1,1.5,2020-10-30 22:22:51
457,Kaka,37.35,280.16,52,0,2.57,2020-10-30 22:18:05
458,Carutapera,-1.2,299.08,80,99,2.92,2020-10-30 22:22:51
459,Maracaçumé,-2.04,299.49,71,31,3.1,2020-10-30 22:22:51
460,Sijunjung,-0.69,295.12,90,99,0.48,2020-10-30 22:22:51
461,Camocim,-2.9,300.08,70,3,7.44,2020-10-30 22:21:56
462,Wurzen,51.37,286.85,83,100,0.45,2020-10-30 22:22:52
463,Kharitonovo,61.4,275.6,87,100,3.77,2020-10-30 22:22:52
464,Monte Patria,-30.69,298.51,27,0,2.94,2020-10-30 22:22:52
465,Bar Harbor,44.39,273.86,50,1,3.6,2020-10-30 22:22:52
466,Huangzhou,30.45,289.15,93,100,3.0,2020-10-30 22:22:52
467,Zhirnovsk,50.98,281.67,66,100,3.88,2020-10-30 22:22:52
468,Zhalantun,48.0,273.82,87,100,1.5,2020-10-30 22:22:52
469,Teya,60.38,258.26,91,0,0.38,2020-10-30 22:22:52
470,Richards Bay,-28.78,293.29,83,98,7.54,2020-10-30 22:22:52
471,Morón,-34.65,289.72,98,98,1.34,2020-10-30 22:22:53
472,Saint Andrews,34.05,292.8,40,1,3.6,2020-10-30 22:22:53
473,Natal,-5.79,299.67,74,20,4.1,2020-10-30 22:22:53
474,Batemans Bay,-35.72,287.77,96,100,3.5,2020-10-30 22:20:11
475,Cockburn Town,21.46,303.15,70,40,4.1,2020-10-30 22:21:29
476,Rumford,44.55,272.57,58,100,1.65,2020-10-30 22:19:44
477,Dwārka,22.24,300.39,42,0,3.77,2020-10-30 22:22:53
478,Shouguang,36.88,285.11,67,54,4.31,2020-10-30 22:22:54
479,Belaya Gora,68.53,257.41,94,96,1.49,2020-10-30 22:22:54
480,Noyabrsk,63.2,273.29,98,100,4.84,2020-10-30 22:20:31
481,Avera,33.19,293.26,52,1,2.6,2020-10-30 22:20:09
482,San Rafael,-34.62,296.27,21,6,5.06,2020-10-30 22:22:54
483,Mandera,3.94,301.07,62,100,2.92,2020-10-30 22:22:54
484,Antalaha,-14.9,293.75,86,34,4.41,2020-10-30 22:22:54
485,Batagay,67.63,253.29,91,99,1.14,2020-10-30 22:22:54
486,Adré,13.47,300.78,23,83,4.18,2020-10-30 22:22:54
487,Tubmanburg,6.87,296.76,96,63,1.0,2020-10-30 22:22:55
488,Osypenko,46.91,285.93,100,94,1.34,2020-10-30 22:22:55
489,Tooele,40.53,289.55,41,1,1.5,2020-10-30 22:22:55
490,Canandaigua,42.87,274.65,99,89,1.34,2020-10-30 22:19:30
491,Meadow Lake,34.8,290.6,31,20,3.6,2020-10-30 22:22:55
492,Porto Walter,-8.27,296.41,98,100,2.44,2020-10-30 22:22:55
493,Ouro Preto do Oeste,-10.75,299.33,73,97,5.22,2020-10-30 22:22:55
494,Santiago,-33.46,299.62,23,0,3.1,2020-10-30 22:12:11
495,Mwingi,-0.93,291.82,80,78,2.76,2020-10-30 22:22:56
496,Shetpe,44.17,281.88,45,0,6.01,2020-10-30 22:22:56
497,Pedernales,18.04,302.15,79,75,3.1,2020-10-30 22:22:56
498,Ust'-Kut,56.79,267.16,92,100,1.07,2020-10-30 22:22:56
499,Salinópolis,-0.61,300.08,77,43,5.06,2020-10-30 22:17:04
500,Kindu,-2.95,293.61,97,94,0.22,2020-10-30 22:20:11
501,Mocuba,-16.84,294.71,79,0,0.23,2020-10-30 22:22:56
502,Władysławowo,54.79,277.8,100,20,0.5,2020-10-30 22:22:56
503,Yerbogachën,61.28,261.44,94,100,2.98,2020-10-30 22:22:57
504,Rabaul,-4.2,301.04,74,79,1.25,2020-10-30 22:22:57
505,Lamu,-2.27,298.49,81,0,4.28,2020-10-30 22:22:57
506,Jacareacanga,-6.22,298.98,80,100,1.03,2020-10-30 22:22:57
507,Tegul'det,57.31,267.32,98,100,0.38,2020-10-30 22:22:58
508,Portland,45.52,288.04,59,1,3.1,2020-10-30 22:20:27
509,Otane,-39.88,292.59,64,100,4.02,2020-10-30 22:22:58
510,Muroto-misakicho,33.28,283.15,66,20,4.6,2020-10-30 22:22:58
511,Marystown,47.17,277.04,100,79,6.56,2020-10-30 22:22:58
512,Aného,6.23,300.15,83,20,3.6,2020-10-30 22:22:58
513,Drumheller,51.46,282.58,53,99,3.6,2020-10-30 22:21:05
514,Pankrushikha,53.83,273.81,96,100,3.73,2020-10-30 22:22:58
515,São Desidério,-12.36,296.09,82,96,0.37,2020-10-30 22:22:58
516,Zhezkazgan,47.8,275.78,72,0,3.15,2020-10-30 22:22:59
517,Rassvet,46.83,287.43,97,80,1.6,2020-10-30 22:22:59
518,Evensk,61.95,268.0,93,43,1.45,2020-10-30 22:22:59
519,Nantucket,41.28,278.41,86,90,10.3,2020-10-30 22:18:33
520,Neryungri,56.67,259.36,93,86,0.21,2020-10-30 22:22:59
521,Vila Franca do Campo,37.72,294.15,88,75,6.2,2020-10-30 22:22:56
522,Sitka,57.05,280.15,70,90,4.6,2020-10-30 22:20:23
523,Soyo,-6.13,298.66,83,60,3.92,2020-10-30 22:20:03
524,Guînes,50.87,287.26,87,90,2.1,2020-10-30 22:23:00
525,Bardsīr,29.92,278.15,25,0,3.1,2020-10-30 22:23:00
526,Kurchum,48.57,272.96,95,12,1.66,2020-10-30 22:23:00
527,Kontagora,10.4,298.09,39,16,0.93,2020-10-30 22:23:00
528,Mahon,39.89,290.15,88,0,2.6,2020-10-30 22:23:00
529,Adrar,20.5,302.69,15,100,3.96,2020-10-30 22:20:24
530,Karratha,-20.74,296.13,67,0,0.83,2020-10-30 22:20:41
531,Iquitos,-3.75,296.15,88,90,4.1,2020-10-30 22:23:01
532,Tabriz,38.08,287.15,31,40,2.1,2020-10-30 22:13:35
533,Tongliao,43.61,283.79,44,100,9.49,2020-10-30 22:23:01
534,Nizhniy Odes,63.64,274.08,93,100,4.84,2020-10-30 22:23:01
535,Balkhash,46.84,276.34,73,0,1.85,2020-10-30 22:23:01
536,Riacho de Santana,-13.61,301.15,65,0,2.6,2020-10-30 22:23:01
537,Ixtapa,20.7,302.37,74,20,4.1,2020-10-30 22:23:01
538,Elwood,-37.88,288.89,85,90,1.79,2020-10-30 22:23:02
539,Daşoguz,41.84,275.15,55,0,5.1,2020-10-30 22:23:02
540,Lewistown,40.6,279.98,81,90,2.1,2020-10-30 22:23:02
541,Lake Charles,30.21,292.92,42,5,3.1,2020-10-30 22:23:02
542,Nuevo Ideal,24.89,294.63,28,56,3.56,2020-10-30 22:23:02
543,Kamari,36.8,292.09,77,40,5.1,2020-10-30 22:23:02
544,Oussouye,12.48,298.64,94,0,1.0,2020-10-30 22:23:03
545,Warrnambool,-38.38,286.48,82,36,5.94,2020-10-30 22:23:03
546,Cleburne,32.35,293.2,28,1,3.1,2020-10-30 22:21:48
547,Pokhara,28.23,292.83,22,0,3.53,2020-10-30 22:15:02
548,Tiznit Province,29.58,295.41,23,0,2.02,2020-10-30 22:23:03
549,Veydelevka,50.15,284.45,97,100,1.12,2020-10-30 22:23:03
550,Constitución,-35.33,290.89,61,0,4.37,2020-10-30 22:23:03
551,Bambous Virieux,-20.34,292.36,56,40,7.2,2020-10-30 22:19:59
552,Chimbote,-9.09,291.15,79,100,3.69,2020-10-30 22:23:04
553,Coos Bay,43.37,288.13,93,90,3.6,2020-10-30 22:23:04
554,Vila Velha,-20.33,299.15,83,75,7.7,2020-10-30 22:20:06
555,Grimshaw,56.18,271.15,92,90,8.2,2020-10-30 22:23:04
556,Pochutla,15.74,302.09,74,90,3.6,2020-10-30 22:15:03
557,Dickinson,29.46,292.11,43,0,0.89,2020-10-30 22:23:04
558,San Fernando,15.03,298.15,83,75,1.0,2020-10-30 22:23:04
559,Merrill,45.18,277.12,44,1,2.1,2020-10-30 22:23:04
560,Sistranda,63.73,282.15,93,75,5.7,2020-10-30 22:20:31
561,Alunu,45.02,280.04,66,81,1.01,2020-10-30 22:23:05
562,Hue,16.47,299.15,94,75,2.1,2020-10-30 22:23:05
563,Brainerd,46.36,277.48,56,1,4.1,2020-10-30 22:23:05
564,Mossamedes,-15.2,295.8,78,36,0.34,2020-10-30 22:19:56
565,Road Town,18.42,301.73,70,40,6.2,2020-10-30 22:23:05
